Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	translate	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-mii-ig-mikrobiologie.json	47758	-	0	0	0	0	0	0	17	235	0	0	0	0	0	0	0	1	0	0	28	230	417	0	0	0	5	0	4
fsh-generated/resources/CapabilityStatement-mii-cps-mikrobio-metadata.json	12157	4	0	0	2	0	0	0	1	31	0	0	0	0	0	0	0	0	0	0	11	57	62	0	0	0	1	0	1
fsh-generated/resources/CodeSystem-mii-cs-mikrobio-mrgn-ergebnis.json	1327	2	0	0	0	0	0	0	0	7	0	0	1	0	0	0	0	0	0	0	10	10	81	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-mii-cs-mikrobio-resistenzkategorie.json	2226	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	11	33	67	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-mii-cs-mikrobio-susceptibility-norm.json	1005	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	10	11	96	0	0	0	0	0	0
fsh-generated/resources/DiagnosticReport-mii-exa-mikrobio-diagnostic-report.json	2161	2	0	0	0	0	0	0	1	539	0	0	0	0	0	0	0	0	0	0	21	15	28	0	0	0	0	0	0
fsh-generated/resources/Observation-mii-exa-mikrobio-allgemeine-bestimmung.json	2379	2	0	0	0	0	0	0	0	61	0	0	0	0	0	0	0	0	0	0	10	15	33	0	0	0	0	0	0
fsh-generated/resources/Observation-mii-exa-mikrobio-allgemeine-kultur.json	1961	2	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	10	12	164	0	0	0	0	0	0
fsh-generated/resources/Observation-mii-exa-mikrobio-antigen-antikoerper-quantitativ.json	1964	1	0	0	0	0	0	0	0	409	1	0	0	0	0	0	0	0	0	0	10	13	21	0	0	0	0	0	0
fsh-generated/resources/Observation-mii-exa-mikrobio-aviditaet.json	2132	2	0	0	0	0	0	0	1	108	0	0	0	0	0	0	0	1	0	0	11	21	31	0	0	0	0	0	0
fsh-generated/resources/Observation-mii-exa-mikrobio-barlett-score.json	1960	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	11	12	26	0	0	0	0	0	0
fsh-generated/resources/Observation-mii-exa-mikrobio-ct-wert.json	2053	2	0	0	0	0	0	0	0	107	0	0	0	0	0	0	0	0	0	0	10	10	32	0	0	0	0	0	0
fsh-generated/resources/Observation-mii-exa-mikrobio-empfindlichkeit.json	2458	2	0	0	0	0	0	0	0	106	0	0	0	0	0	0	0	0	0	0	11	10	40	0	0	0	0	0	0
fsh-generated/resources/Observation-mii-exa-mikrobio-keimzahl.json	1892	1	0	0	0	0	0	0	0	107	0	0	0	0	0	0	0	0	0	0	10	10	28	0	0	0	0	0	0
fsh-generated/resources/Observation-mii-exa-mikrobio-mikroskopie.json	1981	1	0	0	0	0	0	0	1	4	0	0	0	0	0	0	0	0	0	0	11	10	23	0	0	0	0	0	0
fsh-generated/resources/Observation-mii-exa-mikrobio-molekulare-pathogenlast.json	1998	2	0	0	0	0	1	0	0	106	0	0	0	0	0	0	0	0	0	0	10	11	24	0	0	0	0	0	0
fsh-generated/resources/Observation-mii-exa-mikrobio-mrgn-klasse-negativ.json	1998	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	11	11	33	0	0	0	0	0	0
fsh-generated/resources/Observation-mii-exa-mikrobio-mrgn-klasse.json	1788	1	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	11	27	23	0	0	0	0	0	0
fsh-generated/resources/Observation-mii-exa-mikrobio-nugent-score.json	1902	2	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	10	13	26	0	0	0	0	0	0
fsh-generated/resources/Observation-mii-exa-mikrobio-resistenzkategorie-vre-negativ.json	2064	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	10	37	30	0	0	0	0	0	0
fsh-generated/resources/Observation-mii-exa-mikrobio-resistenzkategorie-vre-positiv.json	2079	1	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	11	149	31	0	0	0	0	0	0
fsh-generated/resources/Observation-mii-exa-mikrobio-resistenzmechanismen-determinanten.json	2038	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	10	10	25	0	0	0	0	0	0
fsh-generated/resources/Observation-mii-exa-mikrobio-spezifische-bestimmung-vre-negativ.json	2067	2	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	11	10	22	0	0	0	0	0	0
fsh-generated/resources/Observation-mii-exa-mikrobio-spezifische-bestimmung.json	2033	1	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	10	11	23	0	0	0	0	0	0
fsh-generated/resources/Observation-mii-exa-mikrobio-spezifische-kultur-vre-negativ.json	2058	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	10	32	19	0	0	0	0	0	0
fsh-generated/resources/Observation-mii-exa-mikrobio-spezifische-kultur.json	1986	1	0	0	0	0	0	0	0	3	0	0	0	0	0	1	0	0	0	0	11	9	31	0	0	0	0	0	0
fsh-generated/resources/Observation-mii-exa-mikrobio-titer.json	1856	2	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	10	8	21	0	0	0	0	0	0
fsh-generated/resources/Observation-mii-exa-mikrobio-virulenzfaktor.json	1831	1	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	10	9	18	0	0	0	0	0	1
fsh-generated/resources/Observation-mii-exa-mikrobio-voraussichtliche-empfindlichkeit.json	1856	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	10	8	23	0	0	0	0	0	0
fsh-generated/resources/Observation-mii-exa-mikrobio-workflow-vre-01-kultur.json	2025	2	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	10	10	32	0	0	0	0	0	0
fsh-generated/resources/Observation-mii-exa-mikrobio-workflow-vre-02-identifikation.json	2477	1	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	10	10	37	0	0	0	0	0	0
fsh-generated/resources/Observation-mii-exa-mikrobio-workflow-vre-03-empfindlichkeit.json	2931	2	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	11	10	40	0	0	0	0	0	0
fsh-generated/resources/SearchParameter-ObservationInterpretation.json	505	1	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	10	7	13	0	0	0	0	0	0
fsh-generated/resources/SearchParameter-mii-sp-mikrobio-interpretation.json	945	1	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	12	15	12	0	0	0	0	0	0
fsh-generated/resources/SearchParameter-mii-sp-mikrobio-observation-titer.json	949	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	10	10	9	0	0	0	0	0	0
fsh-generated/resources/SearchParameter-mii-sp-mikrobio-observation-triggered-by.json	899	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	11	7	9	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-ext-R5-Observation.triggeredBy.json	8989	3	0	24	0	0	0	1	0	636	0	0	0	0	0	0	0	1	0	0	1	135	899	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-mii-ex-mikrobio-empfindlichkeit-norm.json	1837	1	0	12	0	0	0	0	1	9	0	0	0	0	0	0	0	0	0	0	0	50	348	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-mii-lm-mikrobio-logical-model.json	6497	2	0	16	0	0	0	0	0	14	0	0	1	0	0	0	0	0	0	0	1	127	459	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-mii-lm-mikrobio-untersuchung.json	7511	4	0	17	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	1	102	400	0	0	0	1	0	1
fsh-generated/resources/StructureDefinition-mii-lm-mikrobio-untersuchungsarten.json	40925	9	0	136	0	0	0	0	0	86	0	0	0	0	0	0	0	1	0	0	3	826	1206	0	0	0	11	0	1
fsh-generated/resources/StructureDefinition-mii-pr-mikrobio-allgemeine-bestimmung.json	6146	4	0	224	0	0	0	0	0	73	0	0	1	0	0	0	0	2	0	0	1	862	4313	0	0	0	15	0	2
fsh-generated/resources/StructureDefinition-mii-pr-mikrobio-allgemeine-kultur.json	6091	2	0	223	0	0	0	0	0	58	0	0	1	0	0	0	0	2	0	0	0	609	1664	0	0	0	13	1	2
fsh-generated/resources/StructureDefinition-mii-pr-mikrobio-antigen-antikoerper-quantitativ.json	6164	3	0	189	0	0	0	0	0	56	0	0	0	0	0	0	0	2	0	0	0	563	5470	0	0	0	14	0	2
fsh-generated/resources/StructureDefinition-mii-pr-mikrobio-aviditaet.json	6314	3	0	182	0	0	0	0	0	56	0	0	1	0	0	0	0	2	0	0	1	742	1431	0	0	0	13	0	3
fsh-generated/resources/StructureDefinition-mii-pr-mikrobio-barlett-score.json	5920	2	0	134	0	0	0	0	0	101	0	0	0	0	0	0	0	2	0	0	0	575	1862	0	0	0	14	0	2
fsh-generated/resources/StructureDefinition-mii-pr-mikrobio-ct-wert.json	6073	2	0	185	0	0	0	0	0	51	0	0	1	0	0	0	0	2	0	0	0	606	1282	0	0	0	13	0	2
fsh-generated/resources/StructureDefinition-mii-pr-mikrobio-diagnostic-report.json	7306	2	0	105	0	0	0	0	0	50	0	0	0	0	0	0	0	1	0	0	1	598	655	0	1	0	9	1	1
fsh-generated/resources/StructureDefinition-mii-pr-mikrobio-empfindlichkeit.json	7362	2	0	135	0	0	0	0	0	60	0	0	0	0	0	0	0	2	0	0	0	735	1630	0	0	0	14	0	3
fsh-generated/resources/StructureDefinition-mii-pr-mikrobio-keimzahl.json	6340	3	0	117	0	0	0	0	0	61	0	0	1	0	0	0	0	2	0	0	1	668	1303	0	0	0	14	0	2
fsh-generated/resources/StructureDefinition-mii-pr-mikrobio-mikroskopie.json	6043	2	0	155	0	0	0	0	0	50	0	0	0	0	0	0	0	1	0	0	0	647	1322	0	0	0	14	0	2
fsh-generated/resources/StructureDefinition-mii-pr-mikrobio-molekulare-pathogenlast.json	6281	2	0	129	0	0	0	0	0	54	0	0	1	0	0	0	0	2	0	0	1	634	2576	0	0	0	13	0	2
fsh-generated/resources/StructureDefinition-mii-pr-mikrobio-mrgn-klasse.json	5893	3	0	146	1	0	0	0	0	50	0	0	0	0	0	0	0	2	0	0	0	563	1107	0	0	0	14	1	2
fsh-generated/resources/StructureDefinition-mii-pr-mikrobio-nugent-score.json	6409	2	0	136	0	0	0	0	0	55	0	0	0	0	0	0	0	2	0	0	1	584	994	0	0	0	14	0	3
fsh-generated/resources/StructureDefinition-mii-pr-mikrobio-resistenzkategorie-status.json	7542	4	0	154	0	0	0	0	0	50	0	0	1	0	0	0	0	2	0	0	0	560	980	0	0	0	14	0	2
fsh-generated/resources/StructureDefinition-mii-pr-mikrobio-resistenzmechanismen-determinanten.json	6204	3	0	132	0	0	0	0	0	36	0	0	0	0	0	0	0	2	0	0	1	622	1409	0	0	0	14	0	2
fsh-generated/resources/StructureDefinition-mii-pr-mikrobio-spezifische-bestimmung.json	6617	2	0	205	0	0	0	0	0	32	0	0	1	0	0	0	0	1	0	0	0	650	5351	0	0	0	13	0	2
fsh-generated/resources/StructureDefinition-mii-pr-mikrobio-spezifische-kultur.json	6672	3	0	185	0	0	0	0	0	101	0	0	0	0	0	0	0	2	0	0	1	760	1496	0	0	0	14	0	3
fsh-generated/resources/StructureDefinition-mii-pr-mikrobio-titer.json	6284	2	0	200	0	0	0	0	0	75	0	0	0	0	0	0	0	2	0	0	0	604	1347	0	0	0	14	1	2
fsh-generated/resources/StructureDefinition-mii-pr-mikrobio-virulenzfaktor.json	5671	2	0	194	0	0	0	0	0	33	0	0	1	0	0	0	0	3	0	0	0	766	911	0	0	0	14	0	2
fsh-generated/resources/StructureDefinition-mii-pr-mikrobio-voraussichtliche-empfindlichkeit.json	5837	2	0	195	0	0	0	0	0	33	0	0	0	0	0	0	0	1	0	0	1	730	1297	0	0	0	14	0	3
