Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	translate	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-mii-ig-mikrobiologie.json	57263	-	0	0	0	0	0	0	19	91	0	0	0	0	0	0	0	1	0	0	33	181	644	0	0	0	6	0	4
fsh-generated/resources/CapabilityStatement-mii-cps-mikrobio-metadata.json	12160	4	0	0	1	0	0	0	2	27	0	0	0	0	0	0	0	0	0	0	10	45	50	0	1	0	2	0	0
fsh-generated/resources/CodeSystem-mii-cs-mikrobio-mrgn-ergebnis.json	1355	1	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	7	9	67	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-mii-cs-mikrobio-resistenzkategorie.json	2254	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	4	14	51	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-mii-cs-mikrobio-susceptibility-norm.json	1033	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	2	9	46	0	0	0	0	0	0
fsh-generated/resources/DiagnosticReport-mii-exa-mikrobio-diagnostic-report.json	2416	2	0	0	0	0	0	0	1	439	0	0	0	0	0	0	0	0	0	0	3	13	28	0	0	0	0	0	0
fsh-generated/resources/Observation-mii-exa-mikrobio-allgemeine-bestimmung.json	2640	1	0	0	0	0	0	0	0	78	0	0	0	0	0	0	0	0	0	0	4	11	32	0	0	0	0	0	0
fsh-generated/resources/Observation-mii-exa-mikrobio-allgemeine-kultur.json	2222	2	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	3	9	21	0	0	0	0	0	0
fsh-generated/resources/Observation-mii-exa-mikrobio-antigen-antikoerper-quantitativ.json	2144	1	0	0	0	0	0	0	0	252	0	0	0	0	0	0	0	0	0	0	3	9	23	0	0	0	0	0	0
fsh-generated/resources/Observation-mii-exa-mikrobio-aviditaet.json	2312	1	0	0	0	0	0	0	1	122	0	0	0	0	0	0	0	0	0	0	3	10	23	0	0	0	0	0	0
fsh-generated/resources/Observation-mii-exa-mikrobio-barlett-score.json	2167	2	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	2	9	21	0	0	0	0	0	1
fsh-generated/resources/Observation-mii-exa-mikrobio-ct-wert.json	2233	2	0	0	0	0	0	0	0	121	0	0	0	0	0	0	0	0	0	0	2	9	24	0	0	0	0	0	0
fsh-generated/resources/Observation-mii-exa-mikrobio-empfindlichkeit.json	2557	1	0	0	0	0	0	0	0	122	0	0	0	0	0	0	0	0	0	0	2	9	23	0	0	0	0	0	0
fsh-generated/resources/Observation-mii-exa-mikrobio-keimzahl-katheterspitze.json	2336	2	0	0	0	0	0	0	1	122	0	0	0	0	0	0	0	0	0	0	2	10	22	0	0	0	0	0	0
fsh-generated/resources/Observation-mii-exa-mikrobio-keimzahl.json	2072	1	0	0	0	0	0	0	0	121	0	0	0	0	0	0	0	0	0	0	2	9	21	0	0	0	0	0	0
fsh-generated/resources/Observation-mii-exa-mikrobio-mikroskopie.json	2242	2	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	3	8	21	0	0	0	0	0	0
fsh-generated/resources/Observation-mii-exa-mikrobio-molekulare-pathogenlast.json	2178	1	0	0	0	0	0	0	0	122	0	0	0	0	0	0	0	0	0	0	2	10	20	0	0	0	0	0	0
