source_page	target	branch	transforms
MIIIGModulMikrobiologie/Index.page.md	input/pagecontent/index.md	3	{"render-simplifier-asset-dropped": 1, "index-root-dropped": 0}
MIIIGModulMikrobiologie/Changelog.page.md	input/pagecontent/changes.md	3	{"index-root-dropped": 0}
MIIIGModulMikrobiologie/Beschreibung-Modul-Mikrobiologie.page.md	input/pagecontent/index.md	3	{"index-root-dropped": 0}
MIIIGModulMikrobiologie/Kontext-im-Gesamtprojekt-Bezuege-zu-anderen-Modulen.page.md	input/pagecontent/implementer-guidance.md	3	{"index-root-dropped": 0}
MIIIGModulMikrobiologie/Referenzen.page.md	input/pagecontent/implementer-guidance.md	3	{"index-root-dropped": 0}
MIIIGModulMikrobiologie/Anwendungsfaelle-Informationsmodell/Index.page.md	input/pagecontent/anwendungsfaelle-informationsmodell.md	4	{"index-root-dropped": 0}
MIIIGModulMikrobiologie/Anwendungsfaelle-Informationsmodell/Beschreibung-von-Szenarien-fuer-die-Anwendung-der-Module.page.md	input/pagecontent/guidance.md	3	{"index-root-dropped": 0}
MIIIGModulMikrobiologie/Anwendungsfaelle-Informationsmodell/Datensaetze-inkl-Beschreibungen.page.md	input/pagecontent/logical-models.md	3	{"tree-to-fragment": 3, "index-root-dropped": 0}
MIIIGModulMikrobiologie/Anwendungsfaelle-Informationsmodell/UML.page.md	input/pagecontent/uml-diagrams.md	3	{"render-image": 2, "index-root-dropped": 0}
MIIIGModulMikrobiologie/Technische-Implementierung/Index.page.md	input/pagecontent/technische-implementierung.md	4	{"index-root-dropped": 0}
MIIIGModulMikrobiologie/Technische-Implementierung/Profilauswahl-und-Abgrenzung.page.md	input/pagecontent/profilauswahl-und-abgrenzung.md	4	{"example-link": 8, "index-root-dropped": 0, "pagelink-rewritten": 2}
MIIIGModulMikrobiologie/Technische-Implementierung/CapabilityStatement.page.md	input/pagecontent/capability-statements.md	3	{"render-capabilitystatement": 1, "index-root-dropped": 0, "simplifier-resolve-link-rewritten": 1}
MIIIGModulMikrobiologie/Technische-Implementierung/Terminologien.page.md	input/pagecontent/code-systems.md	3	{"index-root-dropped": 0}
MIIIGModulMikrobiologie/Technische-Implementierung/FHIR-Profile/Diagnostic-Report.page.md	input/intro-notes/StructureDefinition-mii-pr-mikrobio-diagnostic-report-intro.md	1	{"fql-metadata-dropped": 1, "tabs-dropped": 1, "example-link": 1, "index-root-dropped": 0, "empty-heading-dropped": 2}
MIIIGModulMikrobiologie/Technische-Implementierung/FHIR-Profile/Probe.page.md	input/pagecontent/probe.md	4	{"index-root-dropped": 0}
MIIIGModulMikrobiologie/Technische-Implementierung/FHIR-Profile/Index.page.md	input/pagecontent/fhir-profile.md	4	{"render-simplifier-asset-dropped": 1, "index-root-dropped": 0}
MIIIGModulMikrobiologie/Technische-Implementierung/FHIR-Profile/FQL-Beschreibung.page.md	RETIRED	5	
MIIIGModulMikrobiologie/Technische-Implementierung/FHIR-Profile/FQL-Capability-Operations.page.md	RETIRED	5	
MIIIGModulMikrobiologie/Technische-Implementierung/FHIR-Profile/FQL-Capability-REST.page.md	RETIRED	5	
MIIIGModulMikrobiologie/Technische-Implementierung/FHIR-Profile/FQL-Capability-Search.page.md	RETIRED	5	
MIIIGModulMikrobiologie/Technische-Implementierung/FHIR-Profile/Kultur/Index.page.md	input/pagecontent/profiles.md	2	{"index-root-dropped": 0}
MIIIGModulMikrobiologie/Technische-Implementierung/FHIR-Profile/Kultur/Allgemeine-Kultur.page.md	input/intro-notes/StructureDefinition-mii-pr-mikrobio-allgemeine-kultur-intro.md	1	{"fql-metadata-dropped": 1, "tabs-dropped": 1, "example-link": 1, "index-root-dropped": 0, "empty-heading-dropped": 2}
MIIIGModulMikrobiologie/Technische-Implementierung/FHIR-Profile/Kultur/Spezifische-Kultur.page.md	input/intro-notes/StructureDefinition-mii-pr-mikrobio-spezifische-kultur-intro.md	1	{"fql-metadata-dropped": 1, "tabs-dropped": 1, "example-link": 2, "index-root-dropped": 0, "pagelink-rewritten": 2, "empty-heading-dropped": 2}
MIIIGModulMikrobiologie/Technische-Implementierung/FHIR-Profile/Kultur/Mikroskopie.page.md	input/intro-notes/StructureDefinition-mii-pr-mikrobio-mikroskopie-intro.md	1	{"fql-metadata-dropped": 1, "tabs-dropped": 1, "example-link": 1, "index-root-dropped": 0, "empty-heading-dropped": 2}
MIIIGModulMikrobiologie/Technische-Implementierung/FHIR-Profile/Kultur/Barlett-Score.page.md	input/intro-notes/StructureDefinition-mii-pr-mikrobio-barlett-score-intro.md	1	{"fql-metadata-dropped": 1, "tabs-dropped": 1, "example-link": 1, "index-root-dropped": 0, "empty-heading-dropped": 2}
MIIIGModulMikrobiologie/Technische-Implementierung/FHIR-Profile/Kultur/Nugent-Score.page.md	input/intro-notes/StructureDefinition-mii-pr-mikrobio-nugent-score-intro.md	1	{"fql-metadata-dropped": 1, "tabs-dropped": 1, "example-link": 1, "index-root-dropped": 0, "empty-heading-dropped": 2}
MIIIGModulMikrobiologie/Technische-Implementierung/FHIR-Profile/Kultur/Keimzahl.page.md	input/intro-notes/StructureDefinition-mii-pr-mikrobio-keimzahl-intro.md	1	{"fql-metadata-dropped": 1, "tabs-dropped": 1, "example-link": 1, "index-root-dropped": 0, "empty-heading-dropped": 2}
MIIIGModulMikrobiologie/Technische-Implementierung/FHIR-Profile/Kultur/Empfindlichkeit.page.md	input/intro-notes/StructureDefinition-mii-pr-mikrobio-empfindlichkeit-intro.md	1	{"fql-metadata-dropped": 1, "tabs-dropped": 1, "example-link": 1, "index-root-dropped": 0, "pagelink-rewritten": 1, "empty-heading-dropped": 2}
MIIIGModulMikrobiologie/Technische-Implementierung/FHIR-Profile/Bestimmung/Index.page.md	input/pagecontent/profiles.md	2	{"index-root-dropped": 0}
MIIIGModulMikrobiologie/Technische-Implementierung/FHIR-Profile/Bestimmung/Allgemeine-Bestimmung.page.md	input/intro-notes/StructureDefinition-mii-pr-mikrobio-allgemeine-bestimmung-intro.md	1	{"fql-metadata-dropped": 1, "tabs-dropped": 1, "example-link": 1, "index-root-dropped": 0, "pagelink-rewritten": 2, "empty-heading-dropped": 2}
MIIIGModulMikrobiologie/Technische-Implementierung/FHIR-Profile/Bestimmung/Spezifische-Bestimmung.page.md	input/intro-notes/StructureDefinition-mii-pr-mikrobio-spezifische-bestimmung-intro.md	1	{"fql-metadata-dropped": 1, "tabs-dropped": 1, "example-link": 1, "index-root-dropped": 0, "pagelink-rewritten": 3, "empty-heading-dropped": 2}
