property	pre	post	verdict
identity.id	kerndatensatzmodul-mikrobiologie	kerndatensatzmodul-mikrobiologie	unchanged
identity.canonical	https://www.medizininformatik-initiative.de/fhir/modul-mikrobio	https://www.medizininformatik-initiative.de/fhir/modul-mikrobio	unchanged
identity.packageId	project	de.medizininformatikinitiative.kerndatensatz.mikrobiologie	REGRESSION
identity.name	Kerndatensatzmodul Mikrobiologie	Kerndatensatzmodul Mikrobiologie	unchanged
identity.version	2027.0.0-alpha.6	2027.0.0-alpha.6	unchanged
identity.fhirVersion	4.0.1	4.0.1	unchanged
identity.license	-	CC-BY-4.0	not-measurable
identity.calver	true	true	unchanged
identity.publisher	-	NUM-DIZ	not-measurable
identity.status	active	active	unchanged
identity.title	-	MII Implementation Guide Microbiology	not-measurable
licence.contradictory	false	true	REGRESSION
dependency_health.injection_risk	true	true	unchanged
narrative_sources.dual_source	false	false	unchanged
mode	static	static	unchanged
artifacts.profiles	20	20	unchanged
artifacts.extensions	2	2	unchanged
artifacts.valuesets	42	42	unchanged
artifacts.codesystems	3	3	unchanged
artifacts.logicals	3	3	unchanged
artifacts.capabilitystatements	1	1	unchanged
artifacts.questionnaires	0	0	unchanged
artifacts.searchparameters	4	4	unchanged
artifacts.operations	0	0	unchanged
artifacts.examples	27	28	expected-change
artifacts.rulesets	5	56	expected-change
artifacts.invariants	1	1	unchanged
artifacts.mappings	0	0	unchanged
artifacts.other_total	0	0	unchanged
artifacts.total	102	103	expected-change
narrative.pages	40	24	expected-change
narrative.intro_note_pages	0	20	expected-change
narrative.translation_pages	0	24	expected-change
directives.total	303	0	improved
